Address_Hex,Address_Dec,Name,Active,Status
0x0631,1585,Ausgang 0x0631,False,Inactive
0x0632,1586,Ausgang 0x0632,False,Inactive
0x0633,1587,Ausgang 0x0633,False,Inactive
0x0634,1588,Ausgang 0x0634,False,Inactive
0x0635,1589,Ausgang 0x0635,False,Inactive
0x0636,1590,Ausgang 0x0636,False,Inactive
0x0637,1591,Ausgang 0x0637,False,Inactive
0x0638,1592,Ausgang 0x0638,False,Inactive
0x0639,1593,Ausgang 0x0639,False,Inactive
0x063A,1594,Ausgang 0x063A,False,Inactive
0x063B,1595,Ausgang 0x063B,False,Inactive
0x063C,1596,Ausgang 0x063C,False,Inactive
0x063D,1597,Ausgang 0x063D,False,Inactive
0x063E,1598,Ausgang 0x063E,False,Inactive
0x063F,1599,Ausgang 0x063F,False,Inactive
0x0640,1600,Ausgang 0x0640,False,Inactive
0x0641,1601,Ausgang 0x0641,False,Inactive
0x0642,1602,Ausgang 0x0642,False,Inactive
0x0643,1603,Ausgang 0x0643,False,Inactive
0x0644,1604,Ausgang 0x0644,False,Inactive
0x0645,1605,Ausgang 0x0645,False,Inactive
0x0646,1606,Ausgang 0x0646,False,Inactive
0x0647,1607,Ausgang 0x0647,False,Inactive
0x0648,1608,Ausgang 0x0648,False,Inactive
0x0649,1609,Ausgang 0x0649,False,Inactive
0x064A,1610,Ausgang 0x064A,False,Inactive
0x064B,1611,Ausgang 0x064B,False,Inactive
0x064C,1612,Ausgang 0x064C,False,Inactive
0x064D,1613,Ausgang 0x064D,False,Inactive
0x064E,1614,Ausgang 0x064E,False,Inactive
0x064F,1615,Ausgang 0x064F,False,Inactive
0x0650,1616,Ausgang 0x0650,False,Inactive
0x0651,1617,Ausgang 0x0651,False,Inactive
0x0652,1618,Ausgang 0x0652,False,Inactive
0x0653,1619,Ausgang 0x0653,False,Inactive
0x0654,1620,Ausgang 0x0654,False,Inactive
0x0655,1621,Ausgang 0x0655,False,Inactive
0x0656,1622,Ausgang 0x0656,False,Inactive
0x0657,1623,Ausgang 0x0657,False,Inactive
0x0658,1624,Ausgang 0x0658,False,Inactive
0x0659,1625,Ausgang 0x0659,False,Inactive
0x065A,1626,Ausgang 0x065A,False,Inactive
0x065B,1627,Ausgang 0x065B,False,Inactive
0x065C,1628,Ausgang 0x065C,False,Inactive
0x065D,1629,Ausgang 0x065D,False,Inactive
0x065E,1630,Ausgang 0x065E,False,Inactive
0x065F,1631,Ausgang 0x065F,False,Inactive
0x0660,1632,Ausgang 0x0660,False,Inactive
0x0661,1633,Ausgang 0x0661,False,Inactive
0x0662,1634,Ausgang 0x0662,False,Inactive
0x0663,1635,Ausgang 0x0663,False,Inactive
0x0664,1636,Ausgang 0x0664,False,Inactive
0x0665,1637,Ausgang 0x0665,False,Inactive
0x0666,1638,Ausgang 0x0666,False,Inactive
0x0667,1639,Ausgang 0x0667,False,Inactive
0x0668,1640,Ausgang 0x0668,False,Inactive
0x0669,1641,Ausgang 0x0669,False,Inactive
0x066A,1642,Ausgang 0x066A,False,Inactive
0x066B,1643,Ausgang 0x066B,False,Inactive
0x066C,1644,Ausgang 0x066C,False,Inactive
0x066D,1645,Ausgang 0x066D,False,Inactive
0x066E,1646,Ausgang 0x066E,False,Inactive
0x066F,1647,Ausgang 0x066F,False,Inactive
0x0670,1648,Ausgang 0x0670,False,Inactive
0x0671,1649,Ausgang 0x0671,False,Inactive
0x0672,1650,Ausgang 0x0672,False,Inactive
0x0673,1651,Ausgang 0x0673,False,Inactive
0x0674,1652,Ausgang 0x0674,False,Inactive
0x0675,1653,Ausgang 0x0675,False,Inactive
0x0676,1654,Ausgang 0x0676,False,Inactive
0x0677,1655,Ausgang 0x0677,False,Inactive
0x0678,1656,Ausgang 0x0678,False,Inactive
0x0679,1657,Ausgang 0x0679,False,Inactive
0x067A,1658,Ausgang 0x067A,False,Inactive
0x067B,1659,Ausgang 0x067B,False,Inactive
0x067C,1660,Ausgang 0x067C,False,Inactive
0x067D,1661,Ausgang 0x067D,False,Inactive
0x067E,1662,Ausgang 0x067E,False,Inactive
0x067F,1663,Ausgang 0x067F,False,Inactive
0x0680,1664,Ausgang 0x0680,False,Inactive
0x0681,1665,Ausgang 0x0681,False,Inactive
0x0682,1666,Ausgang 0x0682,False,Inactive
0x0683,1667,Ausgang 0x0683,False,Inactive
0x0684,1668,Ausgang 0x0684,False,Inactive
0x0685,1669,Ausgang 0x0685,False,Inactive
0x0686,1670,Ausgang 0x0686,False,Inactive
0x0687,1671,Ausgang 0x0687,False,Inactive
0x0688,1672,Ausgang 0x0688,False,Inactive
0x0689,1673,Ausgang 0x0689,False,Inactive
0x068A,1674,Ausgang 0x068A,False,Inactive
0x068B,1675,Ausgang 0x068B,False,Inactive
0x068C,1676,Ausgang 0x068C,False,Inactive
0x068D,1677,Ausgang 0x068D,False,Inactive
0x068E,1678,Ausgang 0x068E,False,Inactive
0x068F,1679,Ausgang 0x068F,False,Inactive
0x0690,1680,Ausgang 0x0690,False,Inactive
0x0691,1681,Ausgang 0x0691,False,Inactive
0x0692,1682,Ausgang 0x0692,False,Inactive
0x0693,1683,Ausgang 0x0693,False,Inactive
0x0694,1684,Ausgang 0x0694,False,Inactive
0x0695,1685,Ausgang 0x0695,False,Inactive
0x0696,1686,Ausgang 0x0696,False,Inactive
0x0697,1687,Ausgang 0x0697,False,Inactive
0x0698,1688,Ausgang 0x0698,False,Inactive
0x0699,1689,Ausgang 0x0699,False,Inactive
0x069A,1690,Ausgang 0x069A,False,Inactive
0x069B,1691,Ausgang 0x069B,False,Inactive
0x069C,1692,Ausgang 0x069C,False,Inactive
0x069D,1693,Ausgang 0x069D,False,Inactive
0x069E,1694,Ausgang 0x069E,False,Inactive
0x069F,1695,Ausgang 0x069F,False,Inactive
