Address_Hex,Address_Dec,Name,Type,Active,Status
0x005C,92,Melderbus Strang 1 Adresse 53,melderbus,False,Inactive
0x005D,93,Melderbus Strang 1 Adresse 54,melderbus,False,Inactive
0x005E,94,Melderbus Strang 1 Adresse 55,melderbus,False,Inactive
0x005F,95,Melderbus Strang 1 Adresse 56,melderbus,False,Inactive
0x0060,96,Melderbus Strang 1 Adresse 57,melderbus,False,Inactive
0x0061,97,Melderbus Strang 1 Adresse 58,melderbus,False,Inactive
0x0062,98,Melderbus Strang 1 Adresse 59,melderbus,False,Inactive
0x0063,99,Melderbus Strang 1 Adresse 60,melderbus,False,Inactive
0x0064,100,Melderbus Strang 1 Adresse 61,melderbus,False,Inactive
0x0065,101,Melderbus Strang 1 Adresse 62,melderbus,False,Inactive
0x0066,102,Melderbus Strang 1 Adresse 63,melderbus,False,Inactive
0x0067,103,Eingang 0x0067,melderbus,False,Inactive
0x0068,104,Melderbus Strang 2 Adresse 1,melderbus,False,Inactive
0x0069,105,Melderbus Strang 2 Adresse 2,melderbus,False,Inactive
0x006A,106,Melderbus Strang 2 Adresse 3,melderbus,False,Inactive
0x006B,107,Melderbus Strang 2 Adresse 4,melderbus,False,Inactive
0x006C,108,Melderbus Strang 2 Adresse 5,melderbus,False,Inactive
0x006D,109,Melderbus Strang 2 Adresse 6,melderbus,False,Inactive
0x006E,110,Melderbus Strang 2 Adresse 7,melderbus,False,Inactive
0x006F,111,Melderbus Strang 2 Adresse 8,melderbus,False,Inactive
0x0070,112,Melderbus Strang 2 Adresse 9,melderbus,False,Inactive
0x0071,113,Melderbus Strang 2 Adresse 10,melderbus,False,Inactive
0x0072,114,Melderbus Strang 2 Adresse 11,melderbus,False,Inactive
0x0073,115,Melderbus Strang 2 Adresse 12,melderbus,False,Inactive
0x0074,116,Melderbus Strang 2 Adresse 13,melderbus,False,Inactive
0x0075,117,Melderbus Strang 2 Adresse 14,melderbus,False,Inactive
0x0076,118,Melderbus Strang 2 Adresse 15,melderbus,False,Inactive
0x0077,119,Melderbus Strang 2 Adresse 16,melderbus,False,Inactive
0x0078,120,Melderbus Strang 2 Adresse 17,melderbus,False,Inactive
0x0079,121,Melderbus Strang 2 Adresse 18,melderbus,False,Inactive
0x007A,122,Melderbus Strang 2 Adresse 19,melderbus,False,Inactive
0x007B,123,Melderbus Strang 2 Adresse 20,melderbus,False,Inactive
0x007C,124,Melderbus Strang 2 Adresse 21,melderbus,False,Inactive
0x007D,125,Melderbus Strang 2 Adresse 22,melderbus,False,Inactive
0x007E,126,Melderbus Strang 2 Adresse 23,melderbus,False,Inactive
0x007F,127,Melderbus Strang 2 Adresse 24,melderbus,False,Inactive
0x0080,128,Melderbus Strang 2 Adresse 25,melderbus,False,Inactive
0x0081,129,Melderbus Strang 2 Adresse 26,melderbus,False,Inactive
0x0082,130,Melderbus Strang 2 Adresse 27,melderbus,False,Inactive
0x0083,131,Melderbus Strang 2 Adresse 28,melderbus,False,Inactive
0x0084,132,Melderbus Strang 2 Adresse 29,melderbus,False,Inactive
0x0085,133,Melderbus Strang 2 Adresse 30,melderbus,False,Inactive
0x0086,134,Melderbus Strang 2 Adresse 31,melderbus,False,Inactive
0x0087,135,Melderbus Strang 2 Adresse 32,melderbus,False,Inactive
0x0088,136,Melderbus Strang 2 Adresse 33,melderbus,False,Inactive
0x0089,137,Melderbus Strang 2 Adresse 34,melderbus,False,Inactive
0x008A,138,Melderbus Strang 2 Adresse 35,melderbus,False,Inactive
0x008B,139,Melderbus Strang 2 Adresse 36,melderbus,False,Inactive
0x008C,140,Melderbus Strang 2 Adresse 37,melderbus,False,Inactive
0x008D,141,Melderbus Strang 2 Adresse 38,melderbus,False,Inactive
0x008E,142,Melderbus Strang 2 Adresse 39,melderbus,False,Inactive
0x008F,143,Melderbus Strang 2 Adresse 40,melderbus,False,Inactive
0x0090,144,Melderbus Strang 2 Adresse 41,melderbus,False,Inactive
0x0091,145,Melderbus Strang 2 Adresse 42,melderbus,False,Inactive
0x0092,146,Melderbus Strang 2 Adresse 43,melderbus,False,Inactive
0x0093,147,Melderbus Strang 2 Adresse 44,melderbus,False,Inactive
0x0094,148,Melderbus Strang 2 Adresse 45,melderbus,False,Inactive
0x0095,149,Melderbus Strang 2 Adresse 46,melderbus,False,Inactive
0x0096,150,Melderbus Strang 2 Adresse 47,melderbus,False,Inactive
0x0097,151,Melderbus Strang 2 Adresse 48,melderbus,False,Inactive
0x0098,152,Melderbus Strang 2 Adresse 49,melderbus,False,Inactive
0x0099,153,Melderbus Strang 2 Adresse 50,melderbus,False,Inactive
